,Shares Issued,Treasury Shares,Shares Outstanding
"Balance at December 29, 2013","376,832",—,"376,832"
"Exercise of stock options, issuance of other stock awards, and other",178,—,178
"Balance at December 28, 2014","377,010",—,"377,010"
Exercise of warrants,"20,480",—,"20,480"
Issuance of common stock to Sponsors,"221,666",—,"221,666"
"Acquisition of Kraft Foods Group, Inc.","592,898",—,"592,898"
"Exercise of stock options, issuance of other stock awards, and other","2,338",(413),"1,925"
"Balance at January 3, 2016","1,214,392",(413),"1,213,979"
"Exercise of stock options, issuance of other stock awards, and other","4,555","(2,058)","2,497"
"Balance at December 31, 2016","1,218,947","(2,471)","1,216,476"
