(dollars in millions),2013,2012,2011
Reported gross profit (a),"$6,103","$5,434","$5,152"
Mark-to-market (COGS) (b),510,(259),(377)
Project K (COGS) (c),(174),—,—
Underlying gross profit (d),"$5,767","$5,693","$5,529"
Reported SGA,"$3,266","$3,872","$3,725"
Mark-to-market (SGA) (b),437,(193),(305)
Project K (SGA) (c),(34),—,—
Underlying SGA (d),"$3,669","$3,679","$3,420"
Reported operating profit,"$2,837","$1,562","$1,427"
Mark-to-market (b),947,(452),(682)
Project K (c),(208),—,—
Underlying operating profit (d),"$2,098","$2,014","$2,109"
