(Millions),2007,2006,2005
Change in short-term debt — net,"$(1,222)",$882,$(258)
Repayment of debt (maturities greater than 90 days),"(1,580)",(440),(656)
Proceeds from debt (maturities greater than 90 days),"4,024",693,429
Total cash change in debt,"$1,222","$1,135",$(485)
Purchases of treasury stock,"(3,239)","(2,351)","(2,377)"
Reissuances of treasury stock,796,523,545
Dividends paid to stockholders,"(1,380)","(1,376)","(1,286)"
Excess tax benefits from stock-based compensation,74,60,54
Distributions to minority interests and other — net,(20),(52),(76)
Net cash used in financing activities,"$(2,547)","$(2,061)","$(3,625)"
