<i>(In millions)</i>,Before Application of SFAS No. 158,Adjustments,After Application of SFAS No. 158
Prepaid pensions,$229,$(229),$–
Investments and long-term receivables,"1,893",(6),"1,887"
Total assets,"31,066",(235),"30,831"
Payroll and benefits payable,384,25,409
Defined benefit postretirement plan obligations,870,375,"1,245"
Long-term deferred income taxes,"2,183",(286),"1,897"
Deferred credits and other liabilities,397,(6),391
Total liabilities,"15,598",108,"15,706"
Accumulated other comprehensive loss,(25),(343),(368)
Total stockholders' equity,"$14,950",$(343),"$14,607"
