(In millions),2009,2008,2007
"Sales and transfers of oil and gas produced, net of production andadministrative costs","$(4,876)","$(6,863)","$(4,613)"
Net changes in prices and production and administrative costs related tofuture production,"4,840","(18,683)","12,344"
"Extensions, discoveries and improved recovery, less related costs","1,399",663,"1,816"
Development costs incurred during the period,"2,786","1,774","1,569"
Changes in estimated future development costs,"(3,641)","(1,436)","(1,706)"
Revisions of previous quantity estimates,"5,110",85,166
Net changes in purchases and sales of minerals in place,(159),(13),23
Accretion of discount,787,"2,724","1,696"
Net change in income taxes,"(4,441)","12,633","(6,647)"
Timing and other,(149),184,(31)
Net change for the year,"1,656","(8,932)","4,617"
Beginning of the year,"4,035","12,967","8,350"
End of year,"$5,691","$4,035","$12,967"
Net change for the year from discontinued operations,$-,$284,$528
