,Preferred Stock,Common Stock,Paid-in Capital,Retained Earnings,Employee Stock Trust,Accumulated Other Comprehensive Income (Loss),Common Stock Held in Treasury at Cost,Common Stock Issued to Employee Trust,Non- redeemable Non- controlling Interests,Total Equity
"BALANCE AT DECEMBER 31, 2011","$1,508",$20,"$22,836","$40,341","$3,166",$(157),"$(2,499)","$(3,166)","$8,029","$70,078"
Net income applicable to Morgan Stanley,—,—,—,68,—,—,—,—,—,68
Net income applicable to nonredeemable noncontrolling interests,—,—,—,—,—,—,—,—,524,524
Dividends,—,—,—,(497),—,—,—,—,—,(497)
Shares issued under employee plans and related tax effects,—,—,662,—,(234),—,485,234,—,"1,147"
Repurchases of common stock,—,—,—,—,—,—,(227),—,—,(227)
Net change in cash flow hedges,—,—,—,—,—,6,—,—,—,6
"Pension, postretirement and other related adjustments",—,—,—,—,—,(265),—,—,5,(260)
Foreign currency translation adjustments,—,—,—,—,—,(128),—,—,(125),(253)
Change in net unrealized gains on securities available for sale,—,—,—,—,—,28,—,—,—,28
Purchase of additional stake in the Wealth Management Joint Venture,—,—,(107),—,—,—,—,—,"(1,718)","(1,825)"
Reclassification to redeemable noncontrolling interests,—,—,—,—,—,—,—,—,"(4,288)","(4,288)"
Other net increases,—,—,35,—,—,—,—,—,892,927
"BALANCE AT DECEMBER 31, 2012","$1,508",$20,"$23,426","$39,912","$2,932",$(516),"$(2,241)","$(2,932)","$3,319","$65,428"
