,"Years Ended December 31,"
Operating Information,2007,2006,2005
Natural gas gathered<i>(BBtu/d)</i>,"1,171","1,168","1,077"
Natural gas processed<i>(BBtu/d)</i>,621,988,"1,117"
Natural gas transported<i>(MMcf/d)</i>,"3,579","3,634","1,333"
Natural gas sales<i>(BBtu/d)</i>,281,302,334
Natural gas liquids gathered<i>(MBbl/d)</i>,228,206,191(a)
Natural gas liquids sales<i>(MBbl/d)</i>,231,207,207
Natural gas liquids fractionated<i>(MBbl/d)</i>,356,313,292(a)
Natural gas liquids transported<i>(MBbl/d)</i>,299,200,187(a)
Capital expenditures<i>(Thousands of dollars)</i>,"$709,858","$201,746","$56,255"
Conway-to-Mount Belvieu OPIS average spread Ethane/Propane mixture (<i>$/gallon)</i>,$0.06,$0.05,$0.05
Realized composite NGL sales prices (<i>$/gallon)</i>(b),$1.06,$0.93,$0.89
Realized condensate sales price (<i>$/Bbl)</i>(b),$67.35,$57.84,$52.69
Realized natural gas sales price (<i>$/MMBtu)</i>(b),$6.21,$6.31,$7.30
Realized gross processing spread (<i>$/MMBtu)</i>(b),$5.21,$5.05,$2.77
