Dollars in millions,2012,2011
January 1,"$4,347","$4,887"
Total net charge-offs,"(1,289)","(1,639)"
Provision for credit losses,987,"1,152"
Net change in allowance for unfunded loan commitments and letters of credit,(10),(52)
Other,1,(1)
December 31,"$4,036","$4,347"
Net charge-offs to average loans (for the year ended),.73%,1.08%
Allowance for loan and lease losses to total loans,2.17,2.73
Commercial lending net charge-offs,$(359),$(712)
Consumer lending net charge-offs,(930),(927)
Total net charge-offs,"$(1,289)","$(1,639)"
Net charge-offs to average loans (for the year ended),,
Commercial lending,.35%,.86%
Consumer lending,1.24,1.33
