Distribution Facility Location,Approximate Square Footage,Owned/Leased Facility
"Frankfort, New York<sup>(a)</sup>","924,000",Owned
"Franklin, Kentucky","833,000",Owned
"Pendleton, Indiana","764,000",Owned
"Macon, Georgia","684,000",Owned
"Waco, Texas","666,000",Owned
"Casa Grande, Arizona","650,000",Owned
"Hagerstown, Maryland<sup>(b)</sup>","482,000",Owned
"Hagerstown, Maryland<sup>(b)</sup>","309,000",Leased
"Waverly, Nebraska","592,000",Owned
"Seguin, Texas<sup>(c)</sup>","71,000",Owned
"Lakewood, Washington","64,000",Leased
"Longview, Texas<sup>(c)</sup>","63,000",Owned
