"Balance at December 31, 2008","$1,177,978"
Net income,"25,120"
Distributions,"(42,451)"
"Conversion of Class A units into common shares, at redemption value","(90,955)"
Adjustment to carry redeemable Class A units at redemption value,"167,049"
"Other, net","14,887"
"Balance at December 31, 2009","$1,251,628"
Net income,"55,228"
Distributions,"(53,515)"
"Conversion of Class A units into common shares, at redemption value","(126,764)"
Adjustment to carry redeemable Class A units at redemption value,"191,826"
Redemption of Series D-12 redeemable units,"(13,000)"
"Other, net","22,571"
"Balance at December 31, 2010","$1,327,974"
