,2007,2006,2005
(Gain)/loss on disposition or impairment of acquired assets and obligations,$(1.2),$(19.2),$3.2
Consulting and professional fees,1.0,8.8,5.6
Employee severance and retention,1.6,3.3,13.3
Information technology integration,2.6,3.0,6.9
In-process research & development,6.5,2.9,–
Integration personnel,–,2.5,3.1
Facility and employee relocation,–,1.0,6.2
Distributor acquisitions,4.1,–,–
Sales agent and lease contract terminations,5.4,0.2,12.7
Other,5.2,3.6,5.6
"Acquisition, integration and other",$25.2,$6.1,$56.6
