Column Name,Data Type,Primary Key / Foreign Key,Column Description
CDSCode,VARCHAR,True,"The California Department of Education School Code, a unique identifier for each school."
NCESDist,VARCHAR,False,"National Center for Educational Statistics school district identification number, This field represents the 7-digit National Center for Educational Statistics (NCES) school district identification number. The first 2 digits identify the state and the last 5 digits identify the school district. Combined, they make a unique 7-digit ID for each school district."
NCESSchool,VARCHAR,False,"National Center for Educational Statistics school identification number,This field represents the 5-digit NCES school identification number. The NCESSchool combined with the NCESDist form a unique 12-digit ID for each school."
StatusType,VARCHAR,False,"Definitions of the valid status types are 1. Active: The district is in operation and providing instructional services. 2. Closed: The district is not in operation and no longer providing instructional services. 3. Merged: The district has combined with another district or districts. 4. Pending: The district has not opened for operation and instructional services yet, but plans to open within the next 9–12 months."
County,VARCHAR,False,The county in which the school is located.
District,VARCHAR,False,The name of the school district.
School,VARCHAR,False,The name of the school.
Street,VARCHAR,False,The street address of the school.
StreetAbr,VARCHAR,False,"The abbreviated street address of the school, district, or administrative authority’s physical location, The abbreviated street address of the school, district, or administrative authority’s physical location. Note: Some records (primarily records of closed or retired schools) may not have data in this field."
City,VARCHAR,False,The city where the school is located.
Zip,VARCHAR,False,The ZIP code for the school's location.
State,VARCHAR,False,"The state abbreviation (e.g., CA for California)."
MailStreet,VARCHAR,False,"The unabbreviated mailing address of the school, district, or administrative authority. Note: 1. Some entities (primarily closed or retired schools) may not have data in this field; 2. Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStreet cells with Street data."
MailStrAbr,VARCHAR,False,The abbreviated mailing street address.
MailCity,VARCHAR,False,"The city associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address city. For your convenience we have filled the unpopulated MailCity cells with City data."
MailZip,VARCHAR,False,"The zip code associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address zip code. For your convenience we have filled the unpopulated MailZip cells with Zip data."
MailState,VARCHAR,False,"The state within the mailing address. For your convenience we have filled the unpopulated MailState cells with State data"
Phone,VARCHAR,False,The contact phone number for the school.
Ext,VARCHAR,False,"The phone number extension of the schoo, district, or administrative authority"
Website,VARCHAR,False,The official website of the school.
OpenDate,DATE,False,The date when the school was opened.
ClosedDate,DATE,False,The date when the school was closed (if applicable).
Charter,BOOLEAN,False,"The field is coded as follows, 1 = The school is a charter, 0 = The school is not a charter".
CharterNum,VARCHAR,False,The charter number assigned to the school (if applicable).
FundingType,VARCHAR,False,"The type of funding the school receives (e.g., Directly funded). Values are as follows: Not in CS (California School) funding model, Locally funded,  Directly funded"
DOC,VARCHAR,False,"The District Ownership Code (DOC) is the numeric code used to identify the category of the Administrative Authority. 00 - County Office of Education, 02 – State Board of Education, 03 – Statewide Benefit Charter, 31 – State Special Schools, 34 – Non-school Location, 52 – Elementary School District, 54 – Unified School District, 56 – High School District, 98 – Regional Occupational Center/Program (ROC/P) commonsense evidence: Only the California Education Authority has been included in the non-school location category."
DOCType,VARCHAR,False,"The District Ownership Code Type,The District Ownership Code Type is the text description of the DOC category, See text values in DOC field description above".
SOC,VARCHAR,False,"The School Ownership Code is a numeric code used to identify the type of school.  08 - Preschool, 09 – Special Education Schools (Public),  11 – Youth Authority Facilities (CEA), 13 – Opportunity Schools, 14 – Juvenile Court Schools , 15 – Other County or District Programs ,31 – State Special Schools, 60 – Elementary School (Public), 61 – Elementary School in 1 School District (Public), 62 – Intermediate/Middle Schools (Public), 63 – Alternative Schools of Choice, 64 – Junior High Schools (Public), 65 – K-12 Schools (Public),  66 – High Schools (Public),  67 – High Schools in 1 School District (Public), 68 – Continuation High Schools,  69 – District Community Day Schools, 70 – Adult Education Centers, 98 – Regional Occupational Center/Program (ROC/P)"
SOCType,VARCHAR,False,The School Ownership Code Type is the text description of the type of school.
EdOpsCode,VARCHAR,False,"The Education Option Code is a short text description of the type of education offered, ALTSOC – Alternative School of Choice,  COMM – County Community School, COMMDAY – Community Day School,  CON – Continuation School, JUV – Juvenile Court School, OPP – Opportunity School,  YTH – Youth Authority School,  SSS – State Special School, SPEC – Special Education School,  TRAD – Traditional,  ROP – Regional Occupational Program,  HOMHOS – Home and Hospital,  SPECON – District Consortia Special Education School"
EdOpsName,VARCHAR,False,The Educational Option Name is the long text description of the type of education being offered.
EILCode,VARCHAR,False," The Educational Instruction Level Code is a short text description of the institution's type relative to the grade range served, A – Adult,  ELEM – Elementary, ELEMHIGH – Elementary-High Combination,   HS – High School,  INTMIDJR – Intermediate/Middle/Junior High, PS – Preschool, UG – Ungraded"
EILName,VARCHAR,False," The Educational Instruction Level Name is the long text description of the institution’s type relative to the grade range served, The Educational Instruction Level Name is the long text description of the institution’s type relative to the grade range served."
GSoffered,VARCHAR,False,"The grade span offered is the lowest grade and the highest grade offered or supported by the school, district, or administrative authority. This field might differ from the grade span served as reported in the most recent certified California Longitudinal Pupil Achievement (CALPADS) Fall 1 data collection, For example XYZ School might display the following data: GSoffered = P–Adult, GSserved = K–12"
GSserved,VARCHAR,False,"It is the lowest grade and the highest grade of student enrollment as reported in the most recent certified CALPADS Fall 1 data collection. Only K–12 enrollment is reported through CALPADS. This field may differ from the grade span offered, commonsense evidence: 1. Only K–12 enrollment is reported through CALPADS, 2. Note: Special programs at independent study, alternative education, and special education schools will often exceed the typical grade span for schools of that type"
Virtual,BOOLEAN,False,"This field identifies the type of virtual instruction offered by the school. Virtual instruction is instruction in which students and teachers are separated by time and/or location, and interaction occurs via computers and/or telecommunications technologies. The field is coded as follows:F = Exclusively Virtual – The school has no physical building where students meet with each other or with teachers, all instruction is virtual. V = Primarily Virtual – The school focuses on a systematic program of virtual instruction but includes some physical meetings among students or with teachers. C = Primarily Classroom – The school offers virtual courses but virtual instruction is not the primary means of instruction.  N = Not Virtual – The school does not offer any virtual instruction. P = Partial Virtual – The school offers some, but not all, instruction through virtual instruction. Note: This value was retired and replaced with the Primarily Virtual and Primarily Classroom values beginning with the 2016–17 school year."
Magnet,BOOLEAN,False," Indicates whether the school is a magnet school. The field is coded as follows: 1 = Magnet - The school is a magnet school and/or offers a magnet program., 0 = Not Magnet - The school is not a magnet school and/or does not offer a magnet program. commonsense evidence: Note: Preschools and adult education centers do not contain a magnet school indicator."
Latitude,DECIMAL,False,"The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the equator measured north to south, The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the equator measured north to south."
Longitude,DECIMAL,False,"The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the prime meridian (Greenwich, England) measured from west to east, The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the prime meridian (Greenwich, England) measured from west to east."
AdmFName1,VARCHAR,False,The first name of the primary administrator.
AdmLName1,VARCHAR,False,The last name of the primary administrator.
AdmEmail1,VARCHAR,False,The email address of the primary administrator.
AdmFName2,VARCHAR,False,The first name of the second administrator (if applicable).
AdmLName2,VARCHAR,False,The last name of the second administrator (if applicable).
AdmEmail2,VARCHAR,False,"The email address of the second administrator administrator's email address The superintendent’s or principal’s email address".
AdmFName3,VARCHAR,False,The first name of the third administrator (if applicable).
AdmLName3,VARCHAR,False,The last name of the third administrator (if applicable).
AdmEmail3,VARCHAR,False,The email address of the third administrator (if applicable).
LastUpdate,DATE,False,The date when the record was last updated.
