Name of Beneficial Owner,Shares of Common Stock Beneficially Owned(1),Percent of Common Stock Outstanding
Fidelity Investments,"57,162,311",(2),6.65%
AllianceBernstein LP,"48,637,731",(3),5.66%
Steven P. Jobs,"5,546,451",(4),*
William V. Campbell,"221,004",(5),*
Timothy D. Cook,"12,597",(6),*
Millard S. Drexler,"220,000",(7),*
"Albert A. Gore, Jr.","60,000",(8),*
Ronald B. Johnson,"2,049,890",(9),*
Arthur D. Levinson,"362,400",(10),*
Peter Oppenheimer,"149,768",(11),*
Philip W. Schiller,256,(12),*
Eric E. Schmidt,"12,284",(13),*
Jerome B. York,"80,000",(14),*
All current executive officers and directors as a group (15 persons),"9,378,423",(15),1.09%
