,"September 30,"
<i>Dollars in thousands</i>,2005,2004
"Blanco revolving credit facility at 4.53% and 3.34%, respectively, due 2006","$55,000","$55,000"
AmerisourceBergen securitization financing due 2007,—,—
Revolving credit facility due 2009,—,—
"$400,000, 5<sup>5</sup>/8% senior notes due 2012","398,010",—
"$500,000, 5<sup>7</sup>/8% senior notes due 2015","497,508",—
Term loan facility at 3.02%,—,"180,000"
Bergen 7<sup>1</sup>/4% senior notes due 2005,—,"99,939"
8<sup>1</sup>/8%senior notes due 2008,—,"500,000"
7<sup>1</sup>/4%senior notes due 2012,—,"300,000"
AmeriSource 5% convertible subordinated notes due 2007,—,"300,000"
Other,"2,193","3,532"
Total debt,"952,711","1,438,471"
Less current portion,"1,232","281,360"
"Total, net of current portion","$951,479","$1,157,111"
