,2006,2005
American Tower credit facility,"$1,000,000","$793,000"
SpectraSite credit facility,"725,000","700,000"
Senior subordinated notes,"325,075","400,000"
"Senior subordinated discount notes, net of discount and warrant valuation",,"160,252"
"Senior notes, net of discount and premium","728,507","726,754"
"Convertible notes, net of discount","704,596","773,058"
Notes payable and capital leases,"59,838","60,365"
Total,"3,543,016","3,613,429"
Less current portion of other long-term obligations,"(253,907)","(162,153)"
Long-term obligations,"$3,289,109","$3,451,276"
