Years ended December 31,2018,2017,2016
Statutory tax rate,19.0%,19.3%,20.0%
"U.S. state income taxes, net of U.S. federal benefit",(0.4),(1.5),0.4
Taxes on international operations<sup>(1)</sup>,(7.3),(30.3),(12.2)
Nondeductible expenses,2.7,3.4,1.4
Adjustments to prior year tax requirements,0.9,2.0,(1.2)
Adjustments to valuation allowances,3.8,(1.8),(2.2)
Change in uncertain tax positions,0.9,1.6,3.2
Excess tax benefits related to shared based compensation<sup>(2)</sup>,(3.6),(8.0),—
U.S. Tax Reform impact<sup>(3)</sup>,7.1,51.2,—
Loss on disposition,(10.2),—,—
Other — net,(1.2),0.6,1.2
Effective tax rate,11.7%,36.5%,10.6%
