,OperatingRevenues(In millions),% of Total,Number ofCustomers,% of Total,EstimatedPopulationServed(In millions),% of Total
New Jersey,$638.0,24.6%,"647,168",20.1%,2.5,21.7%
Pennsylvania,571.2,22.0%,"666,947",20.7%,2.1,18.3%
Missouri,264.8,10.2%,"464,232",14.4%,1.5,13.1%
Illinois (a),261.7,10.1%,"311,464",9.7%,1.2,10.4%
California,209.5,8.1%,"173,986",5.4%,0.6,5.2%
Indiana,199.2,7.7%,"293,345",9.1%,1.2,10.4%
West Virginia (b),124.2,4.8%,"173,208",5.4%,0.6,5.2%
Subtotal (Top Seven States),"2,268.6",87.5%,"2,730,350",84.8%,9.7,84.3%
Other (c),325.3,12.5%,"489,149",15.2%,1.8,15.7%
Total Regulated Businesses,"$2,593.9",100.0%,"3,219,499",100.0%,11.5,100.0%
