,Number of Restricted Stock,Weighted Average Grant- Date Fair Value
"Unvested restricted stock, December 31, 2005","3,488,668",$41.26
Granted,"1,632,504",$56.05
Vested and issued,"(1,181,249)",$40.20
Forfeited,"(360,734)",$44.04
"Unvested restricted stock, December 31, 2006","3,579,189",$48.07
Granted,"1,818,716",$56.45
Vested and issued,"(1,345,412)",$44.48
Forfeited,"(230,786)",$51.57
"Unvested restricted stock, December 31, 2007","3,821,707",$53.12
Granted,"1,836,532",$59.84
Vested and issued,"(1,403,826)",$50.96
Forfeited,"(371,183)",$53.75
"Unvested restricted stock, December 31, 2008","3,883,230",$57.01
