,Number of Restricted Stock,Weighted-Average Grant-Date Fair Value
"Unvested restricted stock, December 31, 2007","3,821,707",$53.12
Granted,"1,836,532",$59.84
Vested and issued,"(1,403,826)",$50.96
Forfeited,"(371,183)",$53.75
"Unvested restricted stock, December 31, 2008","3,883,230",$57.01
Granted,"2,603,344",$39.05
Vested and issued,"(1,447,676)",$54.85
Forfeited,"(165,469)",$51.45
"Unvested restricted stock, December 31, 2009","4,873,429",$48.25
Granted,"2,461,076",$51.09
Vested and issued,"(1,771,423)",$50.79
Forfeited,"(257,350)",$47.93
"Unvested restricted stock, December 31, 2010","5,305,732",$48.74
