In millions of dollars,2010,2009,2008,% Change 2010 vs. 2009,% Change 2009 vs. 2008
Net interest revenue,"$13,831","$12,995","$17,136",6%,(24)%
Non-interest revenue,"1,995","4,770","6,362",(58),(25)
"Total revenues, net of interest expense","$15,826","$17,765","$23,498",(11)%,(24)%
Total operating expenses,"$8,064","$9,799","$14,238",(18)%,(31)%
Net credit losses,"$17,040","$19,185","$13,111",(11)%,46%
Credit reserve build (release),"(1,771)","5,799","8,573",NM,(32)
Provision for benefits and claims,775,"1,054","1,192",(26),(12)
Provision for unfunded lending commitments,—,—,—,—,—
Provisions for credit losses and for benefits and claims,"$16,044","$26,038","$22,876",(38)%,14%
(Loss) from continuing operations before taxes,"$(8,282)","$(18,072)","$(13,616)",54%,(33)%
Benefits for income taxes,"(3,289)","(7,656)","(5,259)",57,(46)
(Loss) from continuing operations,"$(4,993)","$(10,416)","$(8,357)",52%,(25)%
Net income attributable to noncontrolling interests,8,33,12,(76),NM
Net (loss),"$(5,001)","$(10,449)","$(8,369)",52%,(25)%
Average assets(in billions of dollars),$324,$351,$420,(8)%,(16)
Net credit losses as a percentage of average loans,6.20%,6.38%,3.80%,,
