2011,"$82,184"
2012,"77,110"
2013,"75,970"
2014,"75,970"
2015,"75,970"
Thereafter,"390,239"
Total minimum lease payments,"777,443"
"Less: Amount representing lease of the orbital location and estimated executory costs (primarily insurance and maintenance) including profit thereon, included in total minimum lease payments","(357,982)"
Net minimum lease payments,"419,461"
Less: Amount representing interest,"(132,490)"
Present value of net minimum lease payments,"286,971"
Less: Current portion,"(24,801)"
Long-term portion of capital lease obligations,"$262,170"
