,2017,Change,2016*,Change,2015*
Net earnings (loss) attributable to Devon,$898,+185%,"$(1,056)",+92%,"$(12,896)"
Net earnings (loss) per diluted share attributable to Devon,$1.70,+181%,$(2.09),+93%,$(31.72)
Core earnings (loss) attributable to Devon<sup>(1)</sup>,$427,+217%,$(367),- 430%,$111
Core earnings (loss) per diluted share attributable to Devon<sup>(1)</sup>,$0.81,+210%,$(0.73),- 382%,$0.26
Retained production (MBoe/d),541,- 4%,563,- 3%,580
Total production (MBoe/d),543,- 11%,611,- 10%,680
Realized price per Boe<sup>(2)</sup>,$25.96,+39%,$18.72,- 14%,$21.68
Operating cash flow,"$2,909",+94%,"$1,500",- 69%,"$4,898"
"Capitalized expenditures, including acquisitions","$2,937",- 25%,"$3,908",- 32%,"$5,712"
Shareholder and noncontrolling interests distributions,$481,- 8%,$525,- 19%,$650
Cash and cash equivalents,"$2,673",+36%,"$1,959",- 15%,"$2,310"
Total debt,"$10,406",+2%,"$10,154",- 22%,"$13,032"
Reserves (MMBoe),"2,152",+5%,"2,058",- 6%,"2,182"
