Named Executive Officer,2007 Base Salary,Percentage Increase,2008 Base Salary
J. Wayne Leonard,"$1,230,000",5.0%,"$1,291,500"
Leo P. Denault,"$600,000",5.0%,"$630,000"
Richard J. Smith,"$622,400",3.5%,"$645,000"
E. Renae Conley,"$392,000",4.0%,"$407,680"
Hugh T. McDonald,"$311,992",3.2%,"$322,132"
Joseph F. Domino,"$307,009",3.5%,"$317,754"
Roderick K. West,"$276,000",13.75%,"$315,000"
"Theodore H. Bunting, Jr.","$325,000",5.2%,"$341,900"
Haley Fisackerly,"$205,004",32.9%,"$275,000"
Carolyn Shanks,"$307,009",3.3%,"$317,140"
Jay A. Lewis,"$207,000",3.24%,"$213,707"
