,As of December
<i>$ in millions</i>,2012,2011
Total level 1 financial assets,"$ 190,737","$ 136,780"
Total level 2 financial assets,"502,293","587,416"
Total level 3 financial assets,"47,095","47,937"
Cash collateral and counterparty netting<sup>1</sup>,"(101,612)","(120,821)"
Total financial assets at fair value,"$ 638,513","$ 651,312"
Total assets,"$ 938,555","$ 923,225"
Total level 3 financial assets as a percentage of Total assets,5.0%,5.2%
Total level 3 financial assets as a percentage of Total financial assets at fair value,7.4%,7.4%
Total level 1 financial liabilities,"$ 65,994","$ 75,557"
Total level 2 financial liabilities,"318,764","319,160"
Total level 3 financial liabilities,"25,679","25,498"
Cash collateral and counterparty netting<sup>1</sup>,"(32,760)","(31,546)"
Total financial liabilities at fair value,"$ 377,677","$ 388,669"
Total level 3 financial liabilities as a percentage of Total financial liabilities at fairvalue,6.8%,6.6%
