,As of December
<i>$ in millions</i>,2014,2013
Global Core Liquid Assets (GCLA),"$182,947","$184,070"
Other cash,"7,805","5,793"
GCLA and cash,"190,752","189,863"
Secured client financing,"210,641","263,386"
Inventory,"230,667","255,534"
Secured financing agreements,"74,767","79,635"
Receivables,"47,317","39,557"
Institutional Client Services,"352,751","374,726"
Public equity,"4,041","4,308"
Private equity,"17,979","16,236"
Debt<sup>1</sup>,"24,768","23,274"
Loans receivable<sup>2</sup>,"28,938","14,895"
Other,"3,771","2,310"
Investing & Lending,"79,497","61,023"
Total inventory and related assets,"432,248","435,749"
Other assets,"22,599","22,509"
Total assets,"$856,240","$911,507"
