,Year Ended December
<i>$ in millions</i>,2017,2016,2015
Investment banking,"$ 7,371","$ 6,273","$ 7,027"
Investment management,"5,803","5,407","5,868"
Commissions and fees,"3,051","3,208","3,320"
Market making,"7,660","9,933","9,523"
Other principal transactions,"5,256","3,200","5,018"
Totalnon-interestrevenues,"29,141","28,021","30,756"
Interest income,"13,113","9,691","8,452"
Interest expense,"10,181","7,104","5,388"
Net interest income,"2,932","2,587","3,064"
Total net revenues,"$32,073","$30,608","$33,820"
