,Year Ended December 31
"($ in millions, except per share amounts)",2012,2011,2010,2009,2008
Sales and service revenues,"$6,708","$6,575","$6,723","$6,292","$6,189"
Goodwill impairment,—,290,—,—,"2,465"
Operating income (loss),358,100,241,203,"(2,332)"
Net earnings (loss),146,(100),131,119,"(2,397)"
Total assets,"6,392","6,069","5,270","5,097","4,821"
Long-term debt<sup>(1)</sup>,"1,779","1,830",105,283,283
Total long-term obligations,"4,341","3,838","1,637","1,708","1,823"
Free cash flow<sup>(2)</sup>,170,331,168,(269),121
Dividends declared per share,$0.10,$—,$—,$—,$—
Basic earnings (loss) per share<sup>(3)</sup>,$2.96,$(2.05),$2.68,$2.44,$(49.14)
Diluted earnings (loss) per share<sup>(3)</sup>,$2.91,$(2.05),$2.68,$2.44,$(49.14)
