,Options,Weighted-   Average   Exercise Price
"Outstanding at January 2, 2005","6,205,020",$6.99
Granted,"2,992,300",$10.02
Exercised,"(869,925)",$4.66
Cancelled,"(1,001,964)",$11.00
"Outstanding at January 1, 2006","7,325,431",$7.96
Granted,"2,621,050",$27.24
Exercised,"(1,273,119)",$7.28
Cancelled,"(314,242)",$12.44
"Outstanding at December 31, 2006","8,359,120",$13.94
Options assumed through business combination,"1,424,332",$21.37
Granted,"3,784,508",$40.64
Exercised,"(2,179,286)",$12.06
Cancelled,"(964,740)",$22.38
"Outstanding at December 30, 2007","10,423,934",$24.26
