(In Millions),Unrealized Holding Gains (Losses) on Available-for-Sale Investments,Deferred Tax Asset Valuation Allowance,Unrealized Holding Gains (Losses) on Derivatives,Prior Service Credits (Costs),Actuarial Gains (Losses),Foreign Currency Translation Adjustment,Total
"December 27, 2014","$2,459",$26,$(423),$(47),"$(1,004)",$(345),$666
Other comprehensive income (loss) before reclassifications,(999),—,(298),(2),73,(187),"(1,413)"
Amounts reclassified out of accumulated other comprehensive income (loss),(93),—,522,10,67,—,506
Tax effects,382,(18),(67),(1),(12),17,301
Other comprehensive income (loss),(710),(18),157,7,128,(170),(606)
"December 26, 2015","1,749",8,(266),(40),(876),(515),60
Other comprehensive income (loss) before reclassifications,"1,170",—,(26),—,(680),(4),460
Amounts reclassified out of accumulated other comprehensive income (loss),(530),—,38,—,170,—,(322)
Tax effects,(225),(8),(5),—,146,—,(92)
Other comprehensive income (loss),415,(8),7,—,(364),(4),46
"December 31, 2016","$2,164",$—,$(259),$(40),"$(1,240)",$(519),$106
