(In Millions),Unrealized Holding Gains (Losses) on Available-for-Sale Equity Investments,Unrealized Holding Gains (Losses) on Derivatives,Actuarial Valuation and Other Pension Expenses,Translation Adjustments and Other,Total
"December 31, 2016","$2,179",$(259),"$(1,280)",$(534),$106
Other comprehensive income (loss) before reclassifications,"2,765",605,275,(2),"3,643"
Amounts reclassified out of accumulated other comprehensive income (loss),"(3,433)",(69),103,509,"(2,890)"
Tax effects,234,(171),(61),1,3
Other comprehensive income (loss),(434),365,317,508,756
"December 30, 2017","1,745",106,(963),(26),862
Impact of change in accounting standards,"(1,745)",24,(65),(4),"(1,790)"
"Opening balance as of December 31, 2017",—,130,"(1,028)",(30),(928)
Other comprehensive income (loss) before reclassifications,—,(310),157,(16),(169)
Amounts reclassified out of accumulated other comprehensive income (loss),—,9,109,8,126
Tax effects,—,48,(56),5,(3)
Other comprehensive income (loss),—,(253),210,(3),(46)
"December 29, 2018",$—,$(123),$(818),$(33),$(974)
