,IAN,CMG,Total
"Balance as of December 31, 2006","$2,632.5",$435.3,"$3,067.8"
Current year acquisitions,86.0,—,86.0
Contingent and deferred payments for prior acquisitions,4.7,3.7,8.4
Amounts allocated to business dispositions,(5.7),—,(5.7)
Other (primarily foreign currency translation),72.2,2.9,75.1
"Balance as of December 31, 2007","2,789.7",441.9,"3,231.6"
Current year acquisitions,99.5,1.8,101.3
Contingent and deferred payments for prior acquisitions,28.9,1.1,30.0
Amounts allocated to business dispositions,(0.4),—,(0.4)
Other (primarily foreign currency translation),(127.7),(13.9),(141.6)
"Balance as of December 31, 2008","$2,790.0",$430.9,"$3,220.9"
