(in millions),Unrealized gains (losses) on AFS securities<sup></sup><sup>(a)</sup><sup></sup>,"Translation adjustments, net of hedges",Cash flow hedges,Net loss andprior service (credit) of defined benefit pension and OPEB plans<sup></sup><sup>(e)</sup><sup></sup>,Accumulated other comprehensive income (loss)
"Balance at December 31, 2004",$ (61),$ (8),$ (139),$ —,$ (208)
Net change,(163)<sup></sup><sup>(b)</sup><sup></sup>,—,(255),—,(418)
"Balance at December 31, 2005",(224),(8),(394),—,(626)
Net change,253<sup></sup><sup>(c)</sup><sup></sup>,13,(95),—,171
"Adjustment to initially apply SFAS 158, net of taxes",—,—,—,"(1,102)","(1,102)"
"Balance at December 31, 2006",29,5,(489),"(1,102)","(1,557)"
Cumulative effect of changes in accounting principles (SFAS 159),(1),—,—,—,(1)
"Balance at January 1, 2007, adjusted",28,5,(489),"(1,102)","(1,558)"
Net change,352<sup>(d)</sup>,3,(313),599,641
"Balance at December 31, 2007",$ 380,$ 8,$ (802),$ (503),$ (917)
