"Year ended December 31, (in millions)",2009,2008,2007
Investment banking fees,"$7,087","$5,526","$6,635"
Principal transactions,"9,796","(10,699)","9,015"
Lending- and deposit-related fees,"7,045","5,088","3,938"
"Asset management, administrationand commissions","12,540","13,943","14,356"
Securities gains,"1,110","1,560",164
Mortgage fees and related income,"3,678","3,467","2,118"
Credit card income,"7,110","7,419","6,911"
Other income,916,"2,169","1,829"
Noninterest revenue,"49,282","28,473","44,966"
Net interest income,"51,152","38,779","26,406"
Total net revenue,"$100,434","$67,252","$71,372"
