"December 31,",Credit exposure,Nonperforming<sup>(c)</sup>
(in millions),2015,2014,2015,2014
Loans retained,"$357,050","$324,502",$988,$599
Loans held-for-sale,"1,104","3,801",3,4
Loans at fair value,"2,861","2,611",25,21
Loans – reported,"361,015","330,914","1,016",624
Derivative receivables,"59,677","78,975",204,275
Receivables from customers and other<sup>(a)</sup>,"13,372","28,972",—,—
Total wholesale credit-related assets,"434,064","438,861","1,220",899
Lending-related commitments,"366,399","366,881",193,103
Total wholesale credit exposure,"$800,463","$805,742","$1,413","$1,002"
Credit derivatives usedin credit portfolio management activities<sup>(b)</sup>,"$(20,681)","$(26,703)",$(9),$—
Liquid securities and other cash collateral held against derivatives,"(16,580)","(19,604)",NA,NA
