Location,Size (square feet),Principal Usage
"333 S. Wabash Avenue Chicago, Illinois","803,728",Principal executive offices of CNA
"401 Penn Street Reading, Pennsylvania","171,318",Property and casualty insurance offices
"2405 Lucien Way Maitland, Florida","121,959",Property and casualty insurance offices
"40 Wall Street New York, New York","107,927",Property and casualty insurance offices
"1100 Ward Avenue Honolulu, Hawaii","104,478",Property and casualty insurance offices
"101 S. Phillips Avenue Sioux Falls, South Dakota","83,616",Property and casualty insurance offices
"600 N. Pearl Street Dallas, Texas","70,790",Property and casualty insurance offices
"675 Placentia Avenue Brea, California","63,538",Property and casualty insurance offices
"1249 S. River Road Cranbury, New Jersey","56,100",Property and casualty insurance offices
"4267 Meridian Parkway Aurora, Illinois","46,903",Data center
