Name and Location,Number of Rooms,"Owned, Leased or Managed"
"Loews Annapolis Hotel Annapolis, Maryland",220,Owned
"Loews Coronado Bay San Diego, California",440,Land lease expiring 2034
"Loews Denver Hotel Denver, Colorado",185,Owned
"The Don CeSar, a Loews Hotel St. Pete Beach, Florida",347,Management contract (a)(b)
"Hard Rock Hotel, at Universal Orlando Orlando, Florida",650,Management contract (c)
"Loews Lake Las Vegas Henderson, Nevada",493,Management contract (a)
"Loews Le Concorde Hotel Quebec City, Canada",405,Land lease expiring 2069
"The Madison, a Loews Hotel Washington, D.C.",353,Management contract expiring 2021 (a)
"Loews Miami Beach Hotel Miami Beach, Florida",790,Owned
"Loews New Orleans Hotel New Orleans, Louisiana",285,Management contract expiring 2018 (a)
"Loews Philadelphia Hotel Philadelphia, Pennsylvania",585,Owned
"Loews Portofino Bay Hotel, at Universal Orlando Orlando, Florida",750,Management contract (c)
"Loews Regency Hotel New York, New York",350,"Land lease expiring 2013, with renewal option for 47 years"
"Loews Royal Pacific Resort at Universal Orlando Orlando, Florida","1,000",Management contract (c)
"Loews Santa Monica Beach Hotel Santa Monica, California",340,"Management contract expiring 2018, with renewal option for5 years (a)"
"Loews Vanderbilt Hotel Nashville, Tennessee",340,Owned
"Loews Ventana Canyon Tucson, Arizona",400,Management contract expiring 2019 (a)
"Loews Hotel Vogue Montreal, Canada",140,Owned
