"Balance as of December 31, 2006",$477
Provision for litigation settlements (Note 20),3
Interest accretion on U.S. Merchant Lawsuit,38
Payments,(114)
"Balance as of December 31, 2007",$404
Provision for Discover Settlement,863
Provision for American Express Settlement,"1,649"
Provision for other litigation settlements,6
Interest accretion on U.S. Merchant Lawsuit,33
Interest accretion on American Express Settlement,44
Payments on American Express Settlement,(300)
Payments on Discover Settlement,(863)
Payment on U.S. Merchant Lawsuit,(100)
Other payments and accretion,(1)
"Balance as of December 31, 2008","$1,736"
