Period,Total Number of Shares Purchased  (1),Average Price Paid per Share,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Maximum Approximate Dollar Value of Shares that May Yet Be Purchased under the Plans or Programs  (Millions)
"January 1-31, 2007","1,311,268",$76.33,"1,277,200",$651
"February 1-28, 2007","6,542,591",$75.12,"6,522,500","$6,731"
"March 1-31, 2007","8,187,472",$75.59,"8,151,700","$6,115"
"Total January 1 — March 31, 2007","16,041,331",$75.46,"15,951,400","$6,115"
"April 1-30, 2007","3,548,221",$77.55,"3,476,700","$5,846"
"May 1-31, 2007","4,428,219",$85.84,"4,202,800","$5,485"
"June 1-30, 2007","3,885,033",$86.58,"3,810,800","$5,155"
"Total April 1 — June 30, 2007","11,861,473",$83.60,"11,490,300","$5,155"
"July 1-31, 2007","1,646,251",$89.01,"1,510,300","$5,021"
"August 1-31, 2007","2,329,478",$87.05,"2,247,300","$4,825"
"September 1-30, 2007","2,086,564",$90.24,"2,029,600","$4,642"
"Total July 1 — September 30, 2007","6,062,293",$88.68,"5,787,200","$4,642"
"October 1-31, 2007","2,192,302",$88.89,"2,178,500","$4,448"
"November 1-30, 2007","1,702,375",$82.35,"1,692,000","$4,309"
"December 1-31, 2007","1,896,612",$85.41,"1,873,500","$4,149"
"Total October 1 — Dec. 31, 2007","5,791,289",$85.83,"5,744,000","$4,149"
"Total January 1 — December 31, 2007","39,756,386",$81.42,"38,972,900","$4,149"
