($ in millions),2013,2012,2011
Total Sales,"$44,033","$47,267","$48,047"
Pharmaceutical,"37,437","40,601","41,289"
Januvia,"4,004","4,086","3,324"
Zetia,"2,658","2,567","2,428"
Remicade,"2,271","2,076","2,667"
Gardasil,"1,831","1,631","1,209"
Janumet,"1,829","1,659","1,363"
Isentress,"1,643","1,515","1,359"
Vytorin,"1,643","1,747","1,882"
Nasonex,"1,335","1,268","1,286"
ProQuad/M-M-RII/Varivax,"1,306","1,273","1,202"
Singulair,"1,196","3,853","5,479"
Animal Health,"3,362","3,399","3,253"
Consumer Care,"1,894","1,952","1,840"
Other Revenues<sup>(1)</sup>,"1,340","1,315","1,665"
