<i>(In millions)</i>,2008,2007,2006
"Sales and transfers of oil and gas produced, net of production, transportation and administrative costs","$(7,141)","$(4,887)","$(5,312)"
"Net changes in prices and production, transportation and administrative costs related to future production","(18,290)","12,845","(1,342)"
"Extensions, discoveries and improved recovery, less related costs",663,"1,816","1,290"
Development costs incurred during the period,"1,916","1,654","1,251"
Changes in estimated future development costs,"(1,584)","(1,727)",(527)
Revisions of previous quantity estimates,53,290,"1,319"
Net changes in purchases and sales of minerals in place,(13),23,30
Accretion of discount,"2,796","1,726","1,882"
Net change in income taxes,"12,805","(6,751)",(660)
Timing and other,(96),(12),(14)
Net change for the year,"(8,891)","4,977","(2,083)"
Beginning of the year,"13,495","8,518","10,601"
End of year,"$4,604","$13,495","$8,518"
Net change for the year from discontinued operations,$–,$–,$(216)
