December 31,2008,2007
Total assets,"$19,924","$22,561"
Total liabilities,"$7,367","$10,387"
Non-controlling interest,491,578
Stockholders’ equity,"12,066","11,596"
"Total liabilities, non-controlling interest and stockholders’ equity","$19,924","$22,561"
Year ended December 31,2008,2007
Total revenue,"$5,064","$4,845"
Total expenses,"3,471","3,551"
Operating income,"1,593","1,294"
Non-operating income (expense),(574),529
Income before income taxes and non-controlling interest,"1,019","1,823"
Income taxes,388,464
Non-controlling interest,(155),364
Net income,$786,$995
