Dollars in millions,2013,2012
January 1,"$4,036","$4,347"
Total net charge-offs,"(1,077)","(1,289)"
Provision for credit losses,643,987
Net change in allowance for unfunded loan commitments and letters of credit,8,(10)
Other,(1),1
December 31,"$3,609","$4,036"
Net charge-offs to average loans (for the year ended) (a),.57%,.73%
Allowance for loan and lease losses to total loans,1.84,2.17
Commercial lending net charge-offs,$(249),$(359)
Consumer lending net charge-offs,(828),(930)
Total net charge-offs,"$(1,077)","$(1,289)"
Net charge-offs to average loans (for the year ended),,
Commercial lending,.22%,.35%
Consumer lending (a),1.07,1.24
