Dollars in millions,December 31 2013,December 31 2012
Basel I Tier 1 common capital,"$28,484","$24,951"
Less regulatory capital adjustments:,,
Basel III quantitative limits,"(1,386)","(2,330)"
Accumulated other comprehensive income (a),196,276
All other adjustments,162,(396)
Estimated Fully Phased-In Basel III Tier 1 common capital,"$27,456","$22,501"
Estimated Basel III advanced approaches risk-weighted assets,"290,080","301,006"
Pro forma Fully Phased-In Basel III advanced approaches Tier 1 common capitalratio,9.5%,7.5%
Estimated Basel III standardized approach risk-weighted assets,"291,977",N/A
Pro forma Fully Phased-In Basel III standardized approach Tier 1 common capitalratio,9.4%,N/A
