In millions,December 312016,December 312015
Commitments to extend credit,,
Total commercial lending,"$108,256","$101,252"
Home equity lines of credit,"17,438","17,268"
Credit card,"22,095","19,937"
Other,"4,192","4,032"
Total commitments to extend credit,"151,981","142,489"
Net outstanding standby letters of credit (a),"8,324","8,765"
Reinsurance agreements (b),"1,835","2,010"
Standby bond purchase agreements (c),790,911
Other commitments (d),967,966
Total commitments to extend credit and other commitments,"$163,897","$155,141"
