2009 Quarter Ended,December 31,September 30,June 30,March 31
Total revenues,"$243,040","$245,769","$248,251","$258,787"
Income (loss) net of noncontrolling interests and before gains on sale,(380),"4,099","(10,242)","(26,600)"
Equity in net gain (loss) on sale of interest in unconsolidated joint venture/ real estate,—,(157),"(2,693)","9,541"
Gain on early extinguishment of debt,606,"8,368","29,321","47,712"
Gain (loss) on equity investment in marketable securities,(232),(52),127,(807)
Net income from discontinued operations,"1,593","1,863",999,"1,319"
Gain (loss) on sale of discontinued operations,"(1,741)","(11,672)",—,"6,572"
Net income (loss) attributable to SL Green,(154),"2,449","17,512","37,737"
Preferred stock dividends,"(4,969)","(4,969)","(4,969)","(4,969)"
Net income (loss) attributable to SL Green common stockholders,"$(5,123)","$(2,520)","$12,543","$32,768"
Net income (loss) per common share-Basic,$(0.07),$(0.03),$0.19,$0.57
Net income (loss) per common share-Diluted,$(0.07),$(0.03),$0.18,$0.57
