,Net unrealized gain on derivative instruments<sup>(</sup><sup>1</sup><sup>)</sup>,SL Green’s share of joint venture net unrealized gain on derivative instruments<sup>(</sup><sup>2</sup><sup>)</sup>,Net unrealized gain on marketable securities,Total
"Balance at December 31, 2014","$(9,498)",$(95),"$2,613","$(6,980)"
Other comprehensive loss before reclassifications,"(11,143)","(1,714)",(610),"(13,467)"
Amounts reclassified from accumulated other comprehensive income,"10,481","1,217",—,"11,698"
"Balance at December 31, 2015","(10,160)",(592),"2,003","(8,749)"
Other comprehensive income before reclassifications,"13,534","1,160","3,517","18,211"
Amounts reclassified from accumulated other comprehensive income,"9,222","3,453",—,"12,675"
"Balance at December 31, 2016","12,596","4,021","5,520","22,137"
Other comprehensive (loss) income before reclassifications,"(1,618)",233,"(1,348)","(2,733)"
Amounts reclassified from accumulated other comprehensive income,"1,564",766,"(3,130)",(800)
"Balance at December 31, 2017","$12,542","$5,020","$1,042","$18,604"
