,2018,2019,2020,2021,2022,Thereafter,Total
Property mortgages and other loans,"$153,593","$42,289","$703,018","$11,656","$208,003","$1,656,623","$2,775,182"
MRA facilities,"90,809",—,—,—,—,—,"90,809"
Revolving credit facility,—,—,—,—,—,"40,000","40,000"
Unsecured term loans,—,—,—,—,—,"1,500,000","1,500,000"
Senior unsecured notes,"250,000",—,"250,000",—,"800,000","100,000","1,400,000"
Trust preferred securities,—,—,—,—,—,"100,000","100,000"
Capital lease,"2,387","2,411","2,620","2,794","2,794","819,894","832,900"
Ground leases,"31,049","31,066","31,436","31,628","29,472","703,254","857,905"
Estimated interest expense,"226,815","218,019","184,376","163,648","155,398","281,694","1,229,950"
Joint venture debt,"200,250","717,682","473,809","449,740","223,330","2,119,481","4,184,292"
Total,"$954,903","$1,011,467","$1,645,259","$659,466","$1,418,997","$7,320,946","$13,011,038"
