,2008,2007,2006
"Gain on disposition, adjustment or impairment of acquired assets and obligations",$(9.0),$(1.2),$(19.2)
Consulting and professional fees,10.1,1.0,8.8
Employee severance and retention,1.9,1.6,3.3
Information technology integration,0.9,2.6,3.0
In-process research & development,38.5,6.5,2.9
Integration personnel,–,–,2.5
Facility and employee relocation,7.5,–,1.0
Distributor acquisitions,7.3,4.1,–
Sales agent and lease contract terminations,8.1,5.4,0.2
Other,3.2,5.2,3.6
"Acquisition, Integration and Other",$68.5,$25.2,$6.1
